Woonplaatsen;Provincie/Naam (Naam)
Sint Hubert;Noord-Brabant            
Sint Jansklooster;Overijssel               
Sint Jansteen;Zeeland                  
Sint Joost;Limburg                  
Sint Kruis;Zeeland                  
Sint Maarten;Noord-Holland            
Sint Maartensbrug;Noord-Holland            
Sint Maartensvlotbrug;Noord-Holland            
Sint Nicolaasga;Fryslân                  
Sint Odiliënberg;Limburg                  
Sint Pancras;Noord-Holland            
Sint Philipsland;Zeeland                  
St. Willebrord;Noord-Brabant            
Sint-Annaland;Zeeland                  
St.-Annaparochie;Fryslân                  
St.-Jacobiparochie;Fryslân                  
Sintjohannesga;Fryslân                  
Sint-Maartensdijk;Zeeland                  
Sint-Michielsgestel;Noord-Brabant            
Sint-Oedenrode;Noord-Brabant            
Sirjansland;Zeeland                  
Sittard;Limburg                  
Skingen;Fryslân                  
Slagharen;Overijssel               
Slappeterp;Fryslân                  
Sleen;Drenthe                  
Sleeuwijk;Noord-Brabant            
Slenaken;Limburg                  
Sliedrecht;Zuid-Holland             
Slijkenburg;Fryslân                  
Slijk-Ewijk;Gelderland               
Slochteren;Groningen                
Slootdorp;Noord-Holland            
Sloten;Fryslân                  
Sluis;Zeeland                  
Sluiskil;Zeeland                  
Smakt;Limburg                  
Smalle Ee;Fryslân                  
Smallebrugge;Fryslân                  
Smilde;Drenthe                  
Snakkerburen;Fryslân                  
Sneek;Fryslân                  
Snelrewaard;Utrecht                  
Snikzwaag;Fryslân                  
Soerendonk;Noord-Brabant            
Soest;Utrecht                  
Soesterberg;Utrecht                  
Someren;Noord-Brabant            
Sommelsdijk;Zuid-Holland             
Son en Breugel;Noord-Brabant            
Sondel;Fryslân                  
Sonnega;Fryslân                  
Spaarndam;Noord-Holland            
Spaarndam gem. Haarlem;Noord-Holland            
Spanbroek;Noord-Holland            
Spanga;Fryslân                  
Spankeren;Gelderland               
Spannum;Fryslân                  
Spaubeek;Limburg                  
Spier;Drenthe                  
Spier;Drenthe                  
Spierdijk;Noord-Holland            
Spijk;Gelderland               
Spijk;Gelderland               
Spijk;Groningen                
Spijkenisse;Zuid-Holland             
Spijkerboor;Noord-Holland            
Spijkerboor;Drenthe                  
Sprang-Capelle;Noord-Brabant            
Sprundel;Noord-Brabant            
Spui;Zeeland                  
Stad aan 't Haringvliet;Zuid-Holland             
Stadskanaal;Groningen                
Stampersgat;Noord-Brabant            
Standdaarbuiten;Noord-Brabant            
Staphorst;Overijssel               
Starnmeer;Noord-Holland            
Startenhuizen;Groningen                
Startenhuizen;Groningen                
Stavenisse;Zeeland                  
Stavoren;Fryslân                  
Stedum;Groningen                
De Steeg;Gelderland               
Steenbergen;Drenthe                  
Steenbergen;Noord-Brabant            
Steendam;Groningen                
Steenderen;Gelderland               
Steenenkamer;Gelderland               
Steensel;Noord-Brabant            
Steenwijk;Overijssel               
Steenwijkerwold;Overijssel               
Stegeren;Overijssel               
Steggerda;Fryslân                  
Stein;Limburg                  
Stellendam;Zuid-Holland             
Sterksel;Noord-Brabant            
Stevensbeek;Noord-Brabant            
Stevensweert;Limburg                  
Steyl;Limburg                  
Stieltjeskanaal;Drenthe                  
Stiens;Fryslân                  
Stitswerd;Groningen                
Stokkum;Gelderland               
Stolwijk;Zuid-Holland             
Stompetoren;Noord-Holland            
Stoutenburg;Utrecht                  
Stoutenburg Noord;Utrecht                  
Stramproy;Limburg                  
Streefkerk;Zuid-Holland             
Striep;Fryslân                  
Strijbeek;Noord-Brabant            
Strijen;Zuid-Holland             
Strijensas;Zuid-Holland             
Stroe;Gelderland               
Stroobos;Fryslân                  
Stuifzand;Drenthe                  
Stuifzand;Drenthe                  
Sumar;Fryslân                  
Surhuisterveen;Fryslân                  
Surhuizum;Fryslân                  
Susteren;Limburg                  
Suwâld;Fryslân                  
Swalmen;Limburg                  
Sweagerbosk;Fryslân                  
Sweikhuizen;Limburg                  
Swichum;Fryslân                  
Swifterbant;Flevoland                
Swolgen;Limburg                  
Taarlo;Drenthe                  
Teeffelen;Noord-Brabant            
Teerns;Fryslân                  
Tegelen;Limburg                  
Terband;Fryslân                  
Terborg;Gelderland               
Terheijden;Noord-Brabant            
Terherne;Fryslân                  
Terhole;Zeeland                  
Terkaple;Fryslân                  
Termunten;Groningen                
Termunterzijl;Groningen                
Ternaard;Fryslân                  
Terneuzen;Zeeland                  
Teroele;Fryslân                  
Terschuur;Gelderland               
Tersoal;Fryslân                  
Terwispel;Fryslân                  
Terwolde;Gelderland               
Teteringen;Noord-Brabant            
Teuge;Gelderland               
Thesinge;Groningen                
Tholen;Zeeland                  
Thorn;Limburg                  
Tiel;Gelderland               
Tiendeveen;Drenthe                  
Tiendeveen;Drenthe                  
Tienhoven;Utrecht                  
Tienhoven aan de Lek;Utrecht                  
Tienray;Limburg                  
Tijnje;Fryslân                  
De Tike;Fryslân                  
Tilburg;Noord-Brabant            
Tilligte;Overijssel               
Tinallinge;Groningen                
Tinte;Zuid-Holland             
Tirns;Fryslân                  
Tjalhuizum;Fryslân                  
Tjalleberd;Fryslân                  
Tjerkgaast;Fryslân                  
Tjerkwerd;Fryslân                  
Tjuchem;Groningen                
Tolbert;Groningen                
Toldijk;Gelderland               
Tolkamer;Gelderland               
Tollebeek;Flevoland                
Tonden;Gelderland               
Toornwerd;Groningen                
Tricht;Gelderland               
De Trieme;Fryslân                  
Tripscompagnie;Groningen                
Tubbergen;Overijssel               
Tuil;Gelderland               
Tuitjenhorn;Noord-Holland            
Tuk;Overijssel               
Tull en 't Waal;Utrecht                  
Twello;Gelderland               
Twijzel;Fryslân                  
Twijzelerheide;Fryslân                  
Twisk;Noord-Holland            
Tynaarlo;Drenthe                  
Tytsjerk;Fryslân                  
Tzum;Fryslân                  
Tzummarum;Fryslân                  
Ubbena;Drenthe                  
Ubbergen;Gelderland               
Uddel;Gelderland               
Uden;Noord-Brabant            
Udenhout;Noord-Brabant            
Uffelte;Drenthe                  
Ugchelen;Gelderland               
Uitdam;Noord-Holland            
Uitgeest;Noord-Holland            
Uithoorn;Noord-Holland            
Uithuizen;Groningen                
Uithuizermeeden;Groningen                
Uitwellingerga;Fryslân                  
Uitwijk;Noord-Brabant            
Ulestraten;Limburg                  
Ulft;Gelderland               
Ulicoten;Noord-Brabant            
Ulrum;Groningen                
Ulvenhout;Noord-Brabant            
Ulvenhout AC;Noord-Brabant            
Ureterp;Fryslân                  
Urk;Flevoland                
Urmond;Limburg                  
Ursem;Noord-Holland            
Ursem;Noord-Holland            
Usquert;Groningen                
Utrecht;Utrecht                  
Vaals;Limburg                  
Vaassen;Gelderland               
Valburg;Gelderland               
Valkenburg;Zuid-Holland             
Valkenburg;Limburg                  
Valkenswaard;Noord-Brabant            
Valthe;Drenthe                  
Valthermond;Drenthe                  
2e Valthermond;Drenthe                  
Varik;Gelderland               
Varsselder;Gelderland               
Varsseveld;Gelderland               
Vasse;Overijssel               
Veelerveen;Groningen                
Veen;Noord-Brabant            
Veendam;Groningen                
Veenendaal;Utrecht                  
De Veenhoop;Fryslân                  
Veenhuizen;Drenthe                  
Veeningen;Drenthe                  
Veenoord;Drenthe                  
Veere;Zeeland                  
Veessen;Gelderland               
Vegelinsoord;Fryslân                  
Veghel;Noord-Brabant            
't Veld;Noord-Holland            
Velddriel;Gelderland               
Den Velde;Overijssel               
Velden;Limburg                  
Veldhoven;Noord-Brabant            
Velp;Noord-Brabant            
Velp;Gelderland               
Velsen-Noord;Noord-Holland            
Velsen-Zuid;Noord-Holland            
Velserbroek;Noord-Holland            
Venebrugge;Overijssel               
Venhorst;Noord-Brabant            
Venhuizen;Noord-Holland            
Venlo;Limburg                  
Venray;Limburg                  
Ven-Zelderheide;Limburg                  
Vessem;Noord-Brabant            
Vethuizen;Gelderland               
Veulen;Limburg                  
Vianen;Utrecht                  
Vianen NB;Noord-Brabant            
Vierakker;Gelderland               
Vierhouten;Gelderland               
Vierhuizen;Groningen                
Vierlingsbeek;Noord-Brabant            
Vierpolders;Zuid-Holland             
Vijfhuizen;Noord-Holland            
Vijlen;Limburg                  
Vilsteren;Overijssel               
Vinkega;Fryslân                  
Vinkel;Noord-Brabant            
Vinkel;Noord-Brabant            
Vinkenbuurt;Overijssel               
Vinkeveen;Utrecht                  
Visvliet;Groningen                
Vlaardingen;Zuid-Holland             
Vlagtwedde;Groningen                
Vledder;Drenthe                  
Vledderveen;Drenthe                  
Vledderveen;Groningen                
Vleuten;Utrecht                  
Vlieland;Fryslân                  
Vlierden;Noord-Brabant            
Vlijmen;Noord-Brabant            
Vlissingen;Zeeland                  
Vlist;Zuid-Holland             
Vlodrop;Limburg                  
Voerendaal;Limburg                  
Vogelenzang;Noord-Holland            
Vogelwaarde;Zeeland                  
Volendam;Noord-Holland            
Volkel;Noord-Brabant            
Vollenhove;Overijssel               
Vondelingenplaat Rotterdam;Zuid-Holland             
Voorburg;Zuid-Holland             
Voorhout;Zuid-Holland             
Voorschoten;Zuid-Holland             
Voorst;Gelderland               
Voorst;Gelderland               
Voorthuizen;Gelderland               
Vorchten;Gelderland               
Vorden;Gelderland               
Vorstenbosch;Noord-Brabant            
Vortum-Mullem;Noord-Brabant            
Vragender;Gelderland               
Vredenheim;Drenthe                  
Vredepeel;Limburg                  
Vreeland;Utrecht                  
Vries;Drenthe                  
Vriescheloo;Groningen                
Vriezenveen;Overijssel               
Vroomshoop;Overijssel               
Vrouwenakker;Zuid-Holland             
Vrouwenparochie;Fryslân                  
Vrouwenpolder;Zeeland                  
Vught;Noord-Brabant            
Vuren;Gelderland               
Waaksens;Fryslân                  
Waal;Zuid-Holland             
De Waal;Noord-Holland            
Waalre;Noord-Brabant            
Waalwijk;Noord-Brabant            
't Waar;Groningen                
Waarde;Zeeland                  
Waardenburg;Gelderland               
Waarder;Zuid-Holland             
Waardhuizen;Noord-Brabant            
Waarland;Noord-Holland            
Waaxens;Fryslân                  
Wachtum;Drenthe                  
Waddinxveen;Zuid-Holland             
Wadenoijen;Gelderland               
Wagenberg;Noord-Brabant            
Wagenborgen;Groningen                
Wageningen;Gelderland               
Walem;Limburg                  
Walsoorden;Zeeland                  
Wâlterswâld;Fryslân                  
Wamel;Gelderland               
Wanneperveen;Overijssel               
Wanroij;Noord-Brabant            
Wanssum;Limburg                  
Wânswert;Fryslân                  
Wapenveld;Gelderland               
Wapse;Drenthe                  
Wapserveen;Drenthe                  
Warder;Noord-Holland            
Warffum;Groningen                
Warfhuizen;Groningen                
Warfstermolen;Fryslân                  
Warmenhuizen;Noord-Holland            
Warmond;Zuid-Holland             
Warns;Fryslân                  
Warnsveld;Gelderland               
Warstiens;Fryslân                  
Warten;Fryslân                  
Waskemeer;Fryslân                  
Waspik;Noord-Brabant            
Wassenaar;Zuid-Holland             
Wateren;Drenthe                  
Watergang;Noord-Holland            
Waterhuizen;Groningen                
Wateringen;Zuid-Holland             
Waterlandkerkje;Zeeland                  
Waverveen;Utrecht                  
Wedde;Groningen                
De Weere;Noord-Holland            
Weerselo;Overijssel               
Weert;Limburg                  
Weesp;Noord-Holland            
Wehe-den Hoorn;Groningen                
Wehl;Gelderland               
Weidum;Fryslân                  
Weiteveen;Drenthe                  
Wekerom;Gelderland               
Well;Gelderland               
Well L;Limburg                  
Wellerlooi;Limburg                  
Welsum;Overijssel               
Wemeldinge;Zeeland                  
Wenum Wiesel;Gelderland               
Wergea;Fryslân                  
Werkendam;Noord-Brabant            
Werkhoven;Utrecht                  
Wernhout;Noord-Brabant            
Wervershoof;Noord-Holland            
Wesepe;Overijssel               
Wessem;Limburg                  
Westbeemster;Noord-Holland            
Westbroek;Utrecht                  
Westdorp;Drenthe                  
Westdorpe;Zeeland                  
Westendorp;Gelderland               
Westerbeek;Noord-Brabant            
Westerbork;Drenthe                  
Westerbroek;Groningen                
De Westereen;Fryslân                  
Westeremden;Groningen                
Westergeast;Fryslân                  
Westerhaar-Vriezenveensewijk;Overijssel               
Westerhoven;Noord-Brabant            
Westerland;Noord-Holland            
Westerlee;Groningen                
Westernieland;Groningen                
Westervelde;Drenthe                  
Westervoort;Gelderland               
Westerwijtwerd;Groningen                
West-Graftdijk;Noord-Holland            
Westhem;Fryslân                  
Westhoek;Fryslân                  
Westkapelle;Zeeland                  
Westknollendam;Noord-Holland            
Westmaas;Zuid-Holland             
West-Terschelling;Fryslân                  
Westwoud;Noord-Holland            
Westzaan;Noord-Holland            
Wetering;Overijssel               
Weteringbrug;Noord-Holland            
Wetsens;Fryslân                  
Wetsinge;Groningen                
Weurt;Gelderland               
Wezep;Gelderland               
Wezup;Drenthe                  
Wezuperbrug;Drenthe                  
Wichmond;Gelderland               
Wier;Fryslân                  
Wierden;Overijssel               
Wieringerwaard;Noord-Holland            
Wieringerwerf;Noord-Holland            
Wierum;Fryslân                  
Wijchen;Gelderland               
Wijckel;Fryslân                  
Wijdenes;Noord-Holland            
Wijdewormer;Noord-Holland            
Wijhe;Overijssel               
de Wijk;Drenthe                  
Wijk aan Zee;Noord-Holland            
Wijk bij Duurstede;Utrecht                  
Wijk en Aalburg;Noord-Brabant            
Wijlre;Limburg                  
Wijnaldum;Fryslân                  
Wijnandsrade;Limburg                  
Wijnbergen;Gelderland               
Wijngaarden;Zuid-Holland             
Wijnjewoude;Fryslân                  
Wijster;Drenthe                  
Wilbertoord;Noord-Brabant            
Wildervank;Groningen                
De Wilgen;Fryslân                  
Wilhelminadorp;Zeeland                  
Wilhelminaoord;Drenthe                  
Willemsoord;Overijssel               
Willemstad;Noord-Brabant            
Wilnis;Utrecht                  
Wilp;Gelderland               
De Wilp;Groningen                
Wilsum;Overijssel               
Winde;Drenthe                  
Windraak;Limburg                  
Winkel;Noord-Holland            
Winneweer;Groningen                
Winschoten;Groningen                
Winssen;Gelderland               
Winsum;Fryslân                  
Winsum;Groningen                
Wintelre;Noord-Brabant            
Winterswijk;Gelderland               
Winterswijk Brinkheurne;Gelderland               
Winterswijk Corle;Gelderland               
Winterswijk Henxel;Gelderland               
Winterswijk Huppel;Gelderland               
Winterswijk Kotten;Gelderland               
Winterswijk Meddo;Gelderland               
Winterswijk Miste;Gelderland               
Winterswijk Ratum;Gelderland               
Winterswijk Woold;Gelderland               
Wirdum;Fryslân                  
Wirdum;Groningen                
Wissenkerke;Zeeland                  
Witharen;Overijssel               
Witmarsum;Fryslân                  
Witte Paarden;Overijssel               
Wittelte;Drenthe                  
Wittem;Limburg                  
Witteveen;Drenthe                  
Wiuwert;Fryslân                  
Wjelsryp;Fryslân                  
Woensdrecht;Noord-Brabant            
Woerden;Utrecht                  
Woerdense Verlaat;Zuid-Holland             
Wognum;Noord-Holland            
Woldendorp;Groningen                
Wolfheze;Gelderland               
Wolphaartsdijk;Zeeland                  
Wolsum;Fryslân                  
Woltersum;Groningen                
Wolvega;Fryslân                  
Wommels;Fryslân                  
Wons;Fryslân                  
Workum;Fryslân                  
Wormer;Noord-Holland            
Wormerveer;Noord-Holland            
Woubrugge;Zuid-Holland             
Woudbloem;Groningen                
de Woude;Noord-Holland            
Woudenberg;Utrecht                  
Woudrichem;Noord-Brabant            
Woudsend;Fryslân                  
Wouw;Noord-Brabant            
Wouwse Plantage;Noord-Brabant            
Wyns;Fryslân                  
Wytgaard;Fryslân                  
Yde;Drenthe                  
Yerseke;Zeeland                  
Ypecolsga;Fryslân                  
Ysbrechtum;Fryslân                  
Ysselsteyn;Limburg                  
Zaamslag;Zeeland                  
Zaandam;Noord-Holland            
Zaandijk;Noord-Holland            
Zalk;Overijssel               
Zaltbommel;Gelderland               
't Zand;Noord-Holland            
Zandberg;Drenthe                  
Zandeweer;Groningen                
Zandhuizen;Fryslân                  
Zandpol;Drenthe                  
't Zandt;Groningen                
Zandvoort;Noord-Holland            
Zeddam;Gelderland               
Zeegse;Drenthe                  
Zeeland;Noord-Brabant            
Zeerijp;Groningen                
Zeewolde;Flevoland                
Zegge;Noord-Brabant            
Zegveld;Utrecht                  
Zeijen;Drenthe                  
Zeijerveen;Drenthe                  
Zeijerveld;Drenthe                  
Zeist;Utrecht                  
Zelhem;Gelderland               
Zenderen;Overijssel               
Zennewijnen;Gelderland               
Zennewijnen;Gelderland               
Zetten;Gelderland               
Zevenaar;Gelderland               
Zevenbergen;Noord-Brabant            
Zevenbergschen Hoek;Noord-Brabant            
Zevenbergschen Hoek;Noord-Brabant            
Zevenhoven;Zuid-Holland             
Zevenhuizen;Zuid-Holland             
Zevenhuizen;Groningen                
Zierikzee;Zeeland                  
Zieuwent;Gelderland               
Zijderveld;Utrecht                  
Zijdewind;Noord-Holland            
Zijldijk;Groningen                
De Zilk;Zuid-Holland             
Zoelen;Gelderland               
Zoelmond;Gelderland               
Zoetermeer;Zuid-Holland             
Zoeterwoude;Zuid-Holland             
Zonnemaire;Zeeland                  
Zorgvlied;Drenthe                  
Zoutelande;Zeeland                  
Zoutkamp;Groningen                
Zuid-Beijerland;Zuid-Holland             
Zuidbroek;Groningen                
Zuiddorpe;Zeeland                  
Zuidermeer;Noord-Holland            
Zuiderwoude;Noord-Holland            
Zuidhorn;Groningen                
Zuidlaarderveen;Drenthe                  
Zuidland;Zuid-Holland             
Zuidlaren;Drenthe                  
Zuidoostbeemster;Noord-Holland            
Zuid-Scharwoude;Noord-Holland            
Zuidschermer;Noord-Holland            
Zuidveen;Overijssel               
Zuidveld;Drenthe                  
Zuidvelde;Drenthe                  
Zuidwolde;Groningen                
Zuidwolde;Drenthe                  
Zuidzande;Zeeland                  
Zuilichem;Gelderland               
Zuna;Overijssel               
Zundert;Noord-Brabant            
Zurich;Fryslân                  
Zutphen;Gelderland               
Zuurdijk;Groningen                
Zwaag;Noord-Holland            
Zwaagdijk-Oost;Noord-Holland            
Zwaagdijk-West;Noord-Holland            
Zwaanshoek;Noord-Holland            
Zwammerdam;Zuid-Holland             
Zwanenburg;Noord-Holland            
Zwartebroek;Gelderland               
Zwartemeer;Drenthe                  
Zwartewaal;Zuid-Holland             
Zwartsluis;Overijssel               
Zweeloo;Drenthe                  
Zweins;Fryslân                  
Zwiggelte;Drenthe                  
Zwijndrecht;Zuid-Holland             
Zwinderen;Drenthe                  
Zwolle;Overijssel               
